"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"maj";"ser dojrzewający - za 1kg";"cena";"2012";19,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"ser dojrzewający - za 1kg";"cena";"2013";21,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"jaja kurze świeże - za 1szt";"cena";"2012";0,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"jaja kurze świeże - za 1szt";"cena";"2013";0,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"margaryna - za 400 g";"cena";"2012";3,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"margaryna - za 400 g";"cena";"2013";3,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pomarańcze - za 1kg";"cena";"2013";5,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"kawa naturalna mielona - za 250g";"cena";"2012";7,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"kawa naturalna mielona - za 250g";"cena";"2013";7,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";182,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";185,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"olej napędowy - za 1l";"cena";"2013";5,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pasta do zębów - za 100 ml";"cena";"2012";9,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pasta do zębów - za 100 ml";"cena";"2013";9,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2012";15,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2013";15,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"ser dojrzewający - za 1kg";"cena";"2012";19,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"ser dojrzewający - za 1kg";"cena";"2013";21,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"jaja kurze świeże - za 1szt";"cena";"2012";0,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"jaja kurze świeże - za 1szt";"cena";"2013";0,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"margaryna - za 400 g";"cena";"2012";3,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"margaryna - za 400 g";"cena";"2013";3,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pomarańcze - za 1kg";"cena";"2013";5,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kawa naturalna mielona - za 250g";"cena";"2012";7,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kawa naturalna mielona - za 250g";"cena";"2013";7,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";182,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";185,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"olej napędowy - za 1l";"cena";"2013";5,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pasta do zębów - za 100 ml";"cena";"2012";8,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pasta do zębów - za 100 ml";"cena";"2013";9,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2012";15,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2013";15,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"ser dojrzewający - za 1kg";"cena";"2012";19,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"ser dojrzewający - za 1kg";"cena";"2013";21,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"jaja kurze świeże - za 1szt";"cena";"2012";0,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"jaja kurze świeże - za 1szt";"cena";"2013";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"margaryna - za 400 g";"cena";"2012";3,29;"zł";"";
